,Date 29/04/2026
Rice,42.93
Wheat,30.97
Atta (Wheat),36.76
Gram Dal,84.89
Tur/Arhar Dal,122.39
Urad Dal,117.8
Moong Dal,111.51
Masoor Dal,89.5
Sugar,46.52
Milk @,59.77
Groundnut Oil (Packed),200.53
Mustard Oil (Packed),189.11
Vanaspati (Packed),160.42
Soya Oil (Packed),158.45
Sunflower Oil (Packed),184.99
Palm Oil (Packed),143.92
Gur,57.61
Tea Loose,274.3
Salt Pack (Iodised),21.67
Potato,20.55
Onion,25.03
Tomato,34.18
Bajra (whole),37.52
Jowar (whole),43.8
Maida (wheat),41.8
Ragi (whole),54.44
Suji (whole),46.89
Besan,95.55
Desi Ghee,685.18
Butter (Pasteurised),58.9
Eggs,78.42
Brinjal,40.15
Black Pepper (whole),87.33
Coriander (whole),38.54
Cummin Seed (whole),41.16
Red Chillies (whole),28.64
Turmeric (powder),16.39
Banana,48.27
Ginger,25.33
Garlic,36.64
