,Date 16/01/2026
Rice,42.56
Wheat,31.81
Atta (Wheat),37.17
Gram Dal,85.99
Tur/Arhar Dal,116.3
Urad Dal,114.13
Moong Dal,110.39
Masoor Dal,89.71
Sugar,46.47
Milk @,59.65
Groundnut Oil (Packed),190.56
Mustard Oil (Packed),186.44
Vanaspati (Packed),156.89
Soya Oil (Packed),147.13
Sunflower Oil (Packed),168.15
Palm Oil (Packed),133.93
Gur,57.16
Tea Loose,270.74
Salt Pack (Iodised),21.54
Potato,22.94
Onion,28.96
Tomato,47.14
Bajra (whole),37.81
Jowar (whole),43.21
Maida (wheat),41.52
Ragi (whole),54.38
Suji (whole),46.75
Besan,95.88
Desi Ghee,672.95
Butter (Pasteurised),58.82
Eggs,85.47
Brinjal,42.47
Black Pepper (whole),87.25
Coriander (whole),38.13
Cummin Seed (whole),41.47
Red Chillies (whole),28.09
Turmeric (powder),16.34
Banana,47.21
Ginger,24.88
Garlic,38.77
