Date 27/05/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.81,64,,
Unit:(Rs./Kg.),Wheat,31.22,55,,
,Atta (Wheat),36.71,71,,
,Gram Dal,86.61,140,,
,Tur/Arhar Dal,125.65,185,,
,Urad Dal,117.15,157,,
,Moong Dal,111.44,148,,
,Masoor Dal,88.2,130,,
,Sugar,45.92,62,,
,Milk @,59.06,82,,
,Groundnut Oil (Packed),188.9,279,,
,Mustard Oil (Packed),170.03,242,,
,Vanaspati (Packed),154.95,231,,
,Soya Oil (Packed),146.67,191,,
,Sunflower Oil (Packed),160.83,231,,
,Palm Oil (Packed),134.03,182,,
,Gur,54.98,137,,
,Tea Loose,271.08,600,,
,Salt Pack (Iodised),21.44,31,,
,Potato,24.69,60,,
,Onion,26.35,62,,
,Tomato,25.29,100,,
