Date 01/09/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.04,67,,
Unit:(Rs./Kg.),Wheat,31.74,54,,
,Atta (Wheat),36.98,71,,
,Gram Dal,87.36,140,,
,Tur/Arhar Dal,117.19,182,,
,Urad Dal,114.28,170,,
,Moong Dal,110.43,148,,
,Masoor Dal,89.43,132,,
,Sugar,46.4,60,,
,Milk @,59.3,85,,
,Groundnut Oil (Packed),187.77,279,,
,Mustard Oil (Packed),187.94,249,,
,Vanaspati (Packed),156.96,231,,
,Soya Oil (Packed),147.59,198,,
,Sunflower Oil (Packed),161.93,253,,
,Palm Oil (Packed),131.71,190,,
,Gur,56.91,128,,
,Tea Loose,272.55,600,,
,Salt Pack (Iodised),21.37,33,,
,Potato,25.5,60,,
,Onion,28.48,60,,
,Tomato,50.06,120,,
