Date 02/03/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.04,60,,
Unit:(Rs./Kg.),Wheat,33.4,51,,
,Atta (Wheat),38.44,66,,
,Gram Dal,88.49,140,,
,Tur/Arhar Dal,135.01,183,,
,Urad Dal,120.56,161,,
,Moong Dal,111.33,145,,
,Masoor Dal,87.39,130,,
,Sugar,45.07,60,,
,Milk @,57.72,82,,
,Groundnut Oil (Packed),189.91,251,,
,Mustard Oil (Packed),170.39,220,,
,Vanaspati (Packed),150.77,209,,
,Soya Oil (Packed),146.76,192,,
,Sunflower Oil (Packed),157.64,194,,
,Palm Oil (Packed),138.32,184,,
,Gur,52.91,130,,
,Tea Loose,263.19,520,,
,Salt Pack (Iodised),21.54,31,,
,Potato,23.05,57,,
,Onion,35.44,77,,
,Tomato,19.81,100,,
