,Date 16/06/2026
Rice,43.75
Broken Rice,33.01
Wheat,31.05
Atta (Wheat),36.9
Gram Dal,85.69
Tur/Arhar Dal,122.95
Urad Dal,118.69
Moong Dal,111.87
Masoor Dal,90.26
Sugar,46.96
Milk @,60.64
Groundnut Oil (Packed),203.2
Mustard Oil (Packed),192.13
Vanaspati (Packed),163.63
Soya Oil (Packed),162.51
Sunflower Oil (Packed),187.63
Palm Oil (Packed),147.36
Gur,58.63
Tea Loose,275.7
Salt Pack (Iodised),21.86
Potato,21.96
Onion,27.31
Tomato,44.18
Bajra (whole),38.06
Jowar (whole),44.31
Maida (wheat),42.13
Ragi (whole),54.84
Suji (whole),47.21
Besan,96.12
Desi Ghee,690.35
Butter (Pasteurised),59.38
Eggs,80.8
Brinjal,41.76
Black Pepper (whole),87.79
Coriander (whole),40.27
Cummin Seed (whole),41.15
Red Chillies (whole),29.28
Turmeric (powder),16.54
Banana,49.33
Ginger,30.09
Garlic,39.11
