Date 14/03/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.86,66,,
Unit:(Rs./Kg.),Wheat,33.79,55,,
,Atta (Wheat),39.12,66,,
,Gram Dal,89.9,129,,
,Tur/Arhar Dal,133.96,182,,
,Urad Dal,121.78,155,,
,Moong Dal,113.93,150,,
,Masoor Dal,89.5,120,,
,Sugar,46.05,60,,
,Milk @,58.64,80,,
,Groundnut Oil (Packed),192.15,260,,
,Mustard Oil (Packed),171.23,224,,
,Vanaspati (Packed),155.35,209,,
,Soya Oil (Packed),147.55,198,,
,Sunflower Oil (Packed),159.55,211,,
,Palm Oil (Packed),138.83,180,,
,Gur,56.49,130,,
,Tea Loose,275.36,520,,
,Salt Pack (Iodised),21.39,31,,
,Potato,25.44,60,,
,Onion,36.41,80,,
,Tomato,23,100,,
