Date 26/04/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.51,64,,
Unit:(Rs./Kg.),Wheat,31.38,55,,
,Atta (Wheat),37.18,71,,
,Gram Dal,87.18,140,,
,Tur/Arhar Dal,127.75,185,,
,Urad Dal,118.38,155,,
,Moong Dal,112.16,150,,
,Masoor Dal,87.9,130,,
,Sugar,45.87,60,,
,Milk @,59.13,80,,
,Groundnut Oil (Packed),189.87,279,,
,Mustard Oil (Packed),170.21,242,,
,Vanaspati (Packed),155.3,214,,
,Soya Oil (Packed),147.7,211,,
,Sunflower Oil (Packed),161.47,211,,
,Palm Oil (Packed),137.63,176,,
,Gur,54.77,120,,
,Tea Loose,268.78,523,,
,Salt Pack (Iodised),21.4,32,,
,Potato,23.77,55,,
,Onion,28.3,67,,
,Tomato,22.04,100,,
