,Date 01/03/2026
Rice,41.86
Wheat,31.53
Atta (Wheat),37.2
Gram Dal,83.94
Tur/Arhar Dal,119.34
Urad Dal,116.08
Moong Dal,109.08
Masoor Dal,87.7
Sugar,45.85
Milk @,58.48
Groundnut Oil (Packed),194.41
Mustard Oil (Packed),185.51
Vanaspati (Packed),154.67
Soya Oil (Packed),150.82
Sunflower Oil (Packed),175.85
Palm Oil (Packed),136.99
Gur,55.16
Tea Loose,259.52
Salt Pack (Iodised),21.61
Potato,19.74
Onion,25.07
Tomato,26.68
Bajra (whole),37.21
Jowar (whole),43.46
Maida (wheat),40.9
Ragi (whole),55.26
Suji (whole),44.43
Besan,94.41
Desi Ghee,678.79
Butter (Pasteurised),58.64
Eggs,80.87
Brinjal,37.1
Black Pepper (whole),86.5
Coriander (whole),36.42
Cummin Seed (whole),39.34
Red Chillies (whole),27.74
Turmeric (powder),15.78
Banana,46.07
Ginger,24.11
Garlic,36.73
