,Date 09/09/2026
Rice,46.23
Broken Rice,33.82
Wheat,31.71
Atta (Wheat),37.39
Gram Dal,87.72
Tur/Arhar Dal,124.04
Urad Dal,122.55
Moong Dal,112.0
Masoor Dal,90.47
Sugar,60.31
Milk @,61.29
Groundnut Oil (Packed),209.18
Mustard Oil (Packed),202.14
Vanaspati (Packed),167.94
Soya Oil (Packed),165.82
Sunflower Oil (Packed),192.88
Palm Oil (Packed),151.64
Gur,67.0
Tea Loose,275.74
Salt Pack (Iodised),22.35
Potato,22.74
Onion,52.66
Tomato,39.07
Bajra (whole),38.6
Jowar (whole),45.11
Maida (wheat),42.48
Ragi (whole),55.76
Suji (whole),47.36
Besan,96.52
Desi Ghee,699.15
Butter (Pasteurised),60.44
Eggs,83.61
Brinjal,42.6
Black Pepper (whole),88.57
Coriander (whole),43.66
Cummin Seed (whole),40.69
Red Chillies (whole),30.42
Turmeric (powder),16.68
Banana,49.9
Ginger,36.69
Garlic,45.14
