,Date 25/05/2026
Rice,43.28
Wheat,30.92
Atta (Wheat),36.76
Gram Dal,85.26
Tur/Arhar Dal,122.51
Urad Dal,118.31
Moong Dal,111.38
Masoor Dal,89.9
Sugar,46.75
Milk @,60.18
Groundnut Oil (Packed),201.63
Mustard Oil (Packed),189.71
Vanaspati (Packed),161.93
Soya Oil (Packed),160.47
Sunflower Oil (Packed),185.84
Palm Oil (Packed),145.16
Gur,58.01
Tea Loose,274.4
Salt Pack (Iodised),21.73
Potato,21.14
Onion,25.68
Tomato,37.22
Bajra (whole),37.8
Jowar (whole),43.9
Maida (wheat),42.0
Ragi (whole),54.92
Suji (whole),47.05
Besan,95.83
Desi Ghee,685.57
Butter (Pasteurised),59.15
Eggs,79.36
Brinjal,40.6
Black Pepper (whole),87.69
Coriander (whole),39.2
Cummin Seed (whole),41.03
Red Chillies (whole),28.97
Turmeric (powder),16.54
Banana,48.5
Ginger,27.97
Garlic,37.65
