Date 22/12/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.2,64,,
Unit:(Rs./Kg.),Wheat,31.72,54,,
,Atta (Wheat),37.15,71,,
,Gram Dal,86.43,140,,
,Tur/Arhar Dal,115.88,190,,
,Urad Dal,113.7,155,,
,Moong Dal,110.33,148,,
,Masoor Dal,89.74,142,,
,Sugar,46.5,60,,
,Milk @,59.07,85,,
,Groundnut Oil (Packed),188.9,286,,
,Mustard Oil (Packed),186.52,257,,
,Vanaspati (Packed),156.8,231,,
,Soya Oil (Packed),147.02,194,,
,Sunflower Oil (Packed),165.76,231,,
,Palm Oil (Packed),133.09,179,,
,Gur,56.96,128,,
,Tea Loose,271.73,650,,
,Salt Pack (Iodised),21.47,36,,
,Potato,25.66,56,,
,Onion,29,60,,
,Tomato,50.39,120,,
