,Date 14/05/2026
Rice,43.04
Wheat,30.94
Atta (Wheat),36.79
Gram Dal,85.09
Tur/Arhar Dal,122.3
Urad Dal,118.0
Moong Dal,111.45
Masoor Dal,89.71
Sugar,46.68
Milk @,60.0
Groundnut Oil (Packed),200.67
Mustard Oil (Packed),189.31
Vanaspati (Packed),161.02
Soya Oil (Packed),159.59
Sunflower Oil (Packed),185.62
Palm Oil (Packed),144.68
Gur,57.95
Tea Loose,274.39
Salt Pack (Iodised),21.76
Potato,20.87
Onion,25.47
Tomato,35.29
Bajra (whole),37.62
Jowar (whole),43.64
Maida (wheat),41.85
Ragi (whole),54.98
Suji (whole),47.02
Besan,95.57
Desi Ghee,684.66
Butter (Pasteurised),59.08
Eggs,78.86
Brinjal,40.08
Black Pepper (whole),87.42
Coriander (whole),38.94
Cummin Seed (whole),41.17
Red Chillies (whole),28.85
Turmeric (powder),16.51
Banana,48.11
Ginger,26.94
Garlic,37.16
