Date 11/08/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.9,63,,
Unit:(Rs./Kg.),Wheat,31.6,54,,
,Atta (Wheat),36.86,71,,
,Gram Dal,87.23,140,,
,Tur/Arhar Dal,118.25,183,,
,Urad Dal,114.35,157,,
,Moong Dal,110.53,148,,
,Masoor Dal,88.98,140,,
,Sugar,46.15,60,,
,Milk @,58.94,85,,
,Groundnut Oil (Packed),188.56,279,,
,Mustard Oil (Packed),186.22,249,,
,Vanaspati (Packed),156.52,231,,
,Soya Oil (Packed),147.22,198,,
,Sunflower Oil (Packed),161.09,253,,
,Palm Oil (Packed),130.71,177,,
,Gur,56.2,135,,
,Tea Loose,271.96,600,,
,Salt Pack (Iodised),21.41,33,,
,Potato,25.72,55,,
,Onion,28.09,60,,
,Tomato,52.61,127,,
