,Date 09/06/2026
Rice,43.43
Wheat,30.92
Atta (Wheat),37.0
Gram Dal,85.1
Tur/Arhar Dal,122.75
Urad Dal,118.55
Moong Dal,111.71
Masoor Dal,89.77
Sugar,46.82
Milk @,60.48
Groundnut Oil (Packed),202.97
Mustard Oil (Packed),191.18
Vanaspati (Packed),162.74
Soya Oil (Packed),161.71
Sunflower Oil (Packed),186.74
Palm Oil (Packed),146.6
Gur,58.25
Tea Loose,272.48
Salt Pack (Iodised),21.78
Potato,21.49
Onion,26.76
Tomato,40.1
Bajra (whole),38.35
Jowar (whole),44.27
Maida (wheat),41.85
Ragi (whole),55.09
Suji (whole),46.91
Besan,95.84
Desi Ghee,689.32
Butter (Pasteurised),59.24
Eggs,79.76
Brinjal,41.12
Black Pepper (whole),87.75
Coriander (whole),39.58
Cummin Seed (whole),40.91
Red Chillies (whole),29.03
Turmeric (powder),16.54
Banana,48.96
Ginger,29.44
Garlic,38.6
