,Date 15/05/2026
Rice,43.28
Wheat,31.01
Atta (Wheat),36.82
Gram Dal,85.09
Tur/Arhar Dal,122.5
Urad Dal,118.08
Moong Dal,111.66
Masoor Dal,89.9
Sugar,46.7
Milk @,60.06
Groundnut Oil (Packed),201.12
Mustard Oil (Packed),189.03
Vanaspati (Packed),161.3
Soya Oil (Packed),158.96
Sunflower Oil (Packed),185.19
Palm Oil (Packed),143.75
Gur,58.0
Tea Loose,274.25
Salt Pack (Iodised),21.79
Potato,21.0
Onion,25.53
Tomato,35.45
Bajra (whole),37.67
Jowar (whole),43.83
Maida (wheat),41.98
Ragi (whole),54.69
Suji (whole),47.08
Besan,95.69
Desi Ghee,684.68
Butter (Pasteurised),59.1
Eggs,78.61
Brinjal,40.19
Black Pepper (whole),87.54
Coriander (whole),38.84
Cummin Seed (whole),41.19
Red Chillies (whole),28.75
Turmeric (powder),16.49
Banana,48.26
Ginger,27.04
Garlic,37.23
