Date 25/05/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,41.76,63,,
Unit:(Rs./Kg.),Wheat,31.27,54,,
,Atta (Wheat),36.68,68,,
,Gram Dal,84.67,110,,
,Tur/Arhar Dal,122.66,170,,
,Urad Dal,116.71,157,,
,Moong Dal,109.95,140,,
,Masoor Dal,86.58,111,,
,Sugar,45.65,60,,
,Milk @,58.26,80,,
,Groundnut Oil (Packed),186.05,254,,
,Mustard Oil (Packed),170.53,242,,
,Vanaspati (Packed),154.39,231,,
,Soya Oil (Packed),147.44,188,,
,Sunflower Oil (Packed),161.27,231,,
,Palm Oil (Packed),135.42,182,,
,Gur,54.13,130,,
,Tea Loose,264.27,527,,
,Salt Pack (Iodised),21.65,31,,
,Potato,23.66,50,,
,Onion,24.91,63,,
,Tomato,22.84,100,,
