,Date 13/08/2026
Rice,45.55
Broken Rice,33.35
Wheat,31.48
Atta (Wheat),37.16
Gram Dal,87.09
Tur/Arhar Dal,123.56
Urad Dal,122.02
Moong Dal,111.96
Masoor Dal,90.49
Sugar,50.98
Milk @,60.8
Groundnut Oil (Packed),207.17
Mustard Oil (Packed),197.84
Vanaspati (Packed),166.08
Soya Oil (Packed),164.41
Sunflower Oil (Packed),190.59
Palm Oil (Packed),148.6
Gur,60.43
Tea Loose,275.18
Salt Pack (Iodised),22.3
Potato,22.88
Onion,36.26
Tomato,38.29
Bajra (whole),38.54
Jowar (whole),44.71
Maida (wheat),42.44
Ragi (whole),55.37
Suji (whole),47.05
Besan,95.9
Desi Ghee,695.94
Butter (Pasteurised),60.14
Eggs,84.89
Brinjal,43.25
Black Pepper (whole),88.29
Coriander (whole),42.27
Cummin Seed (whole),40.8
Red Chillies (whole),30.01
Turmeric (powder),16.67
Banana,50.19
Ginger,37.53
Garlic,43.86
