Date 04/02/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.02,65,,
Unit:(Rs./Kg.),Wheat,33.14,57,,
,Atta (Wheat),38.14,71,,
,Gram Dal,91.45,140,,
,Tur/Arhar Dal,144.68,185,,
,Urad Dal,122.5,165,,
,Moong Dal,113.66,150,,
,Masoor Dal,89.09,130,,
,Sugar,44.97,60,,
,Milk @,58.66,82,,
,Groundnut Oil (Packed),192.87,279,,
,Mustard Oil (Packed),168.19,228,,
,Vanaspati (Packed),149.3,211,,
,Soya Oil (Packed),144.61,202,,
,Sunflower Oil (Packed),154.69,211,,
,Palm Oil (Packed),135.49,176,,
,Gur,54.87,130,,
,Tea Loose,270.29,520,,
,Salt Pack (Iodised),21.52,31,,
,Potato,26.99,65,,
,Onion,36.47,80,,
,Tomato,24.42,100,,
