Date 23/01/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.91,65,,
Unit:(Rs./Kg.),Wheat,32.7,57,,
,Atta (Wheat),37.62,71,,
,Gram Dal,92.27,140,,
,Tur/Arhar Dal,150.41,190,,
,Urad Dal,122.95,160,,
,Moong Dal,113.31,150,,
,Masoor Dal,89.04,130,,
,Sugar,44.65,60,,
,Milk @,58.56,82,,
,Groundnut Oil (Packed),193.23,279,,
,Mustard Oil (Packed),168.89,223,,
,Vanaspati (Packed),147.58,209,,
,Soya Oil (Packed),143.76,192,,
,Sunflower Oil (Packed),154.17,209,,
,Palm Oil (Packed),135.22,176,,
,Gur,54.39,130,,
,Tea Loose,270.54,520,,
,Salt Pack (Iodised),21.77,31,,
,Potato,29.67,70,,
,Onion,37.9,87,,
,Tomato,28.15,100,,
