,Date 24/05/2026
Rice,42.18
Wheat,31.03
Atta (Wheat),36.97
Gram Dal,83.26
Tur/Arhar Dal,120.89
Urad Dal,117.72
Moong Dal,110.44
Masoor Dal,87.87
Sugar,46.22
Milk @,59.34
Groundnut Oil (Packed),202.77
Mustard Oil (Packed),189.22
Vanaspati (Packed),160.5
Soya Oil (Packed),161.45
Sunflower Oil (Packed),186.1
Palm Oil (Packed),146.35
Gur,56.67
Tea Loose,262.31
Salt Pack (Iodised),22.03
Potato,19.7
Onion,24.1
Tomato,34.64
Bajra (whole),37.77
Jowar (whole),43.76
Maida (wheat),40.75
Ragi (whole),55.31
Suji (whole),44.63
Besan,94.43
Desi Ghee,685.28
Butter (Pasteurised),58.98
Eggs,78.11
Brinjal,38.07
Black Pepper (whole),86.68
Coriander (whole),37.88
Cummin Seed (whole),39.52
Red Chillies (whole),28.35
Turmeric (powder),16.07
Banana,46.5
Ginger,27.0
Garlic,35.15
