Date 05/12/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.33,65,,
Unit:(Rs./Kg.),Wheat,31.72,54,,
,Atta (Wheat),37.1,71,,
,Gram Dal,86.78,140,,
,Tur/Arhar Dal,115.78,190,,
,Urad Dal,113.76,155,,
,Moong Dal,110.45,148,,
,Masoor Dal,89.82,142,,
,Sugar,46.64,60,,
,Milk @,59.29,84,,
,Groundnut Oil (Packed),187.77,286,,
,Mustard Oil (Packed),186.28,249,,
,Vanaspati (Packed),156.39,231,,
,Soya Oil (Packed),147.16,198,,
,Sunflower Oil (Packed),165.01,242,,
,Palm Oil (Packed),132.72,187,,
,Gur,57.41,137,,
,Tea Loose,273.34,650,,
,Salt Pack (Iodised),21.56,35,,
,Potato,26.48,65,,
,Onion,26.54,60,,
,Tomato,49.87,120,,
