,Date 26/08/2026
Rice,45.13
Broken Rice,32.63
Wheat,31.75
Atta (Wheat),37.6
Gram Dal,86.93
Tur/Arhar Dal,123.28
Urad Dal,121.42
Moong Dal,111.71
Masoor Dal,90.27
Sugar,65.06
Milk @,61.4
Groundnut Oil (Packed),208.0
Mustard Oil (Packed),200.38
Vanaspati (Packed),166.26
Soya Oil (Packed),165.19
Sunflower Oil (Packed),191.51
Palm Oil (Packed),150.09
Gur,67.13
Tea Loose,273.05
Salt Pack (Iodised),22.25
Potato,21.81
Onion,46.79
Tomato,38.12
Bajra (whole),38.49
Jowar (whole),44.79
Maida (wheat),41.89
Ragi (whole),55.58
Suji (whole),46.73
Besan,95.78
Desi Ghee,699.12
Butter (Pasteurised),60.34
Eggs,84.17
Brinjal,42.83
Black Pepper (whole),88.3
Coriander (whole),42.79
Cummin Seed (whole),41.55
Red Chillies (whole),30.46
Turmeric (powder),16.54
Banana,50.34
Ginger,37.24
Garlic,44.29
