Date 06/01/2026,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.26,64,,
Unit:(Rs./Kg.),Wheat,31.66,54,,
,Atta (Wheat),37.12,71,,
,Gram Dal,86.14,140,,
,Tur/Arhar Dal,115.77,182,,
,Urad Dal,113.87,155,,
,Moong Dal,110.5,148,,
,Masoor Dal,89.93,143,,
,Sugar,46.4,60,,
,Milk @,59.28,85,,
,Groundnut Oil (Packed),188.94,286,,
,Mustard Oil (Packed),186.25,260,,
,Vanaspati (Packed),156.94,231,,
,Soya Oil (Packed),147.24,196,,
,Sunflower Oil (Packed),166.73,231,,
,Palm Oil (Packed),133.15,183,,
,Gur,57.05,128,,
,Tea Loose,271.76,560,,
,Salt Pack (Iodised),21.5,36,,
,Potato,24.5,57,,
,Onion,29.34,70,,
,Tomato,50.88,120,,
