,Date 02/04/2026
Rice,42.85
Wheat,31.11
Atta (Wheat),36.9
Gram Dal,84.92
Tur/Arhar Dal,122.23
Urad Dal,117.22
Moong Dal,110.72
Masoor Dal,89.16
Sugar,46.48
Milk @,59.65
Groundnut Oil (Packed),198.05
Mustard Oil (Packed),188.07
Vanaspati (Packed),157.48
Soya Oil (Packed),155.7
Sunflower Oil (Packed),182.36
Palm Oil (Packed),140.93
Gur,57.12
Tea Loose,273.24
Salt Pack (Iodised),21.88
Potato,20.16
Onion,25.26
Tomato,27.16
Bajra (whole),37.61
Jowar (whole),43.94
Maida (wheat),41.62
Ragi (whole),54.83
Suji (whole),46.73
Besan,95.28
Desi Ghee,681.44
Butter (Pasteurised),58.98
Eggs,77.94
Brinjal,38.55
Black Pepper (whole),87.38
Coriander (whole),38.15
Cummin Seed (whole),40.81
Red Chillies (whole),28.44
Turmeric (powder),16.39
Banana,48.25
Ginger,24.68
Garlic,36.57
