Date 10/08/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,41.84,63,,
Unit:(Rs./Kg.),Wheat,31.72,54,,
,Atta (Wheat),37.03,69,,
,Gram Dal,85.86,120,,
,Tur/Arhar Dal,116.24,180,,
,Urad Dal,113.93,157,,
,Moong Dal,109.27,148,,
,Masoor Dal,87.94,126,,
,Sugar,45.86,60,,
,Milk @,58.53,83,,
,Groundnut Oil (Packed),187.23,254,,
,Mustard Oil (Packed),187.08,242,,
,Vanaspati (Packed),155.5,231,,
,Soya Oil (Packed),147.28,198,,
,Sunflower Oil (Packed),160,253,,
,Palm Oil (Packed),131.1,177,,
,Gur,55.63,135,,
,Tea Loose,268.1,600,,
,Salt Pack (Iodised),21.46,33,,
,Potato,25.12,57,,
,Onion,26.99,60,,
,Tomato,52.49,127,,
